outbound_date,route,average_fare,median_fare,minimum_fare,maximum_fare,fare_std,observations,airlines,fare_range,volatility_pct,fare_change_pct
2026-09-13,DEL-BLR,18122.708333333332,18047.5,16878.0,19554.0,836.385207652377,24,4,2676.0,4.615122597950787,4.4040057801525645
2026-09-12,DEL-BOM,14203.181818181818,12923.0,12655.0,25949.0,3933.641641486469,11,5,13294.0,27.695495923673413,
2026-09-13,DEL-BOM,13655.08695652174,12929.0,12655.0,25949.0,2734.8028001541943,23,5,13294.0,20.027721601934132,-3.8589582860824145
2026-09-12,DEL-CCU,17705.333333333332,17486.0,17002.0,18628.0,834.8948037527448,3,3,1626.0,4.715498929245867,
2026-09-13,DEL-CCU,18479.736842105263,17740.0,15717.0,26216.0,2882.0873963559675,19,4,10499.0,15.595933107603885,4.3738431476688655
2026-09-12,DEL-COK,30234.428571428572,29672.0,24187.0,44599.0,6734.663957395917,7,5,20412.0,22.274818065389702,
2026-09-13,DEL-COK,25372.25,25031.0,23804.0,28391.0,1516.9082042101295,8,3,4587.0,5.978611294662986,-16.08159572105594
2026-09-12,DEL-GOI,32757.11111111111,30673.0,22457.0,46819.0,8087.850942068055,9,4,24362.0,24.690366969890338,
2026-09-13,DEL-GOI,20623.333333333332,20459.0,18569.0,24275.0,1610.9847919828421,9,3,5706.0,7.811466584691332,-37.04166016539242
2026-09-12,DEL-HYD,16838.0,16799.0,16120.0,17537.0,510.17840016997974,5,3,1417.0,3.0299227946904606,
2026-09-13,DEL-HYD,16852.30769230769,16886.0,15910.0,17537.0,480.6139102951881,13,3,1627.0,2.8519174885144447,0.08497263515674369
2026-09-12,DEL-MAA,31105.0,21553.0,19130.0,52632.0,18682.251711182995,3,2,33502.0,60.061892657717394,
2026-09-13,DEL-MAA,20782.25,18934.0,17902.0,42254.0,6778.305340972371,12,2,24352.0,32.61583967555183,-33.186786690242734
2026-09-12,DEL-PNQ,22306.6,21332.0,17970.0,31397.0,5307.129525459126,5,3,13427.0,23.791745606498193,
2026-09-13,DEL-PNQ,15061.35294117647,14624.0,13861.0,17743.0,1278.5239996367131,17,5,3882.0,8.48877258656715,-32.48028412587991
2026-09-12,GOI-AMD,29990.0,29990.0,29990.0,29990.0,0.0,1,1,0.0,0.0,
2026-09-12,GOI-BLR,28177.333333333332,32084.0,11359.0,41089.0,15245.155241365479,3,2,29730.0,54.10432229699575,
2026-09-12,GOI-BOM,16161.666666666666,14125.0,12625.0,21735.0,4884.570946698731,3,2,9110.0,30.223188285235008,
2026-09-12,GOI-CCU,31869.5,32310.0,30036.0,32822.0,1259.5251750825255,4,2,2786.0,3.9521334664256593,
2026-09-12,GOI-COK,37964.75,39130.0,32988.0,40611.0,3392.501179071277,4,2,7623.0,8.935923926988263,
2026-09-12,GOI-DEL,21103.0,21103.0,21103.0,21103.0,0.0,1,1,0.0,0.0,
2026-09-12,GOI-HYD,32392.5,32392.5,32345.0,32440.0,67.17514421272202,2,1,95.0,0.2073786963424312,
2026-09-12,GOI-MAA,31727.0,31727.0,31727.0,31727.0,0.0,1,1,0.0,0.0,
2026-09-12,HYD-AMD,27763.75,29829.0,21211.0,30186.0,4374.12851320123,4,1,8975.0,15.7548188310341,
2026-09-13,HYD-AMD,14497.42857142857,14491.0,12693.0,15837.0,1353.3508854128029,7,1,3144.0,9.335109869621826,-47.78288750104517
2026-09-12,HYD-BLR,15232.25,14773.5,14529.0,16853.0,1104.8159348959446,4,2,2324.0,7.253136830710792,
2026-09-13,HYD-BLR,10299.833333333334,10091.0,8612.0,13104.0,1428.9997031193361,12,3,4492.0,13.87400802394216,-32.381405679835
2026-09-12,HYD-BOM,24849.75,22194.0,14299.0,40712.0,11526.277785275408,4,2,26413.0,46.38387824938041,
2026-09-13,HYD-BOM,12515.833333333334,12379.0,11983.0,14035.0,574.4698478254593,12,2,2052.0,4.589944852457228,-49.6339668071778
2026-09-12,HYD-CCU,22671.0,22671.0,22671.0,22671.0,0.0,1,1,0.0,0.0,
2026-09-13,HYD-CCU,19649.428571428572,19521.0,17631.0,22146.0,1549.0004150142402,7,1,4515.0,7.883183011574077,-13.327914201276647
