route,airline,average_fare,median_fare,minimum_fare,maximum_fare,observations,average_duration_minutes,average_stops
BLR-CCU,Air India Express,21745.0,21498.0,19483.0,24501.0,4,327.5,0.25
BLR-CCU,Akasa Air,22255.0,22255.0,22255.0,22255.0,1,155.0,0.0
BLR-COK,Air India Express,12295.666666666666,11949.0,11569.0,13369.0,3,71.66666666666667,0.0
BLR-COK,IndiGo,14429.57142857143,12543.0,11648.0,18850.0,7,67.14285714285714,0.0
BLR-COK,Malaysia Airlines,281760.0,281760.0,281760.0,281760.0,1,685.0,1.0
BLR-DEL,Akasa Air,18230.25,18108.5,17895.0,18809.0,4,170.0,0.0
BLR-DEL,IndiGo,21616.7,18276.0,17335.0,38098.0,10,195.5,0.2
BLR-DEL,Air India Express,22090.333333333332,20076.0,18392.0,27803.0,3,406.6666666666667,0.6666666666666666
BLR-DEL,Air India,26395.333333333332,18399.0,17438.0,67171.0,12,190.0,0.08333333333333333
BLR-DEL,"Air India Express, Air India",28236.5,28236.5,25800.0,30673.0,2,552.5,1.0
BLR-GOI,IndiGo,13880.0,13327.5,11784.0,17081.0,4,75.0,0.0
BLR-GOI,Air India Express,13994.0,13994.0,13277.0,14711.0,2,72.5,0.0
BLR-HYD,Air India Express,12351.5,12775.5,9651.0,15399.0,6,129.16666666666666,0.16666666666666666
BLR-HYD,IndiGo,13083.363636363636,12387.0,9735.0,19290.0,11,119.54545454545455,0.2727272727272727
BLR-MAA,IndiGo,7932.0,7932.0,7932.0,7932.0,5,63.0,0.0
BLR-MAA,Air India Express,8266.0,8266.0,8266.0,8266.0,2,70.0,0.0
BLR-PNQ,Air India Express,11525.75,10133.5,9047.0,16789.0,4,97.5,0.0
BLR-PNQ,Akasa Air,11739.25,10620.5,9763.0,15953.0,4,96.25,0.0
BLR-PNQ,IndiGo,12029.9,10415.5,8977.0,17950.0,10,90.5,0.0
BOM-AMD,Air India,8973.666666666666,8658.5,8420.0,10520.0,6,79.16666666666667,0.0
BOM-AMD,IndiGo,9229.0,8774.0,8172.0,12001.0,12,83.75,0.0
BOM-AMD,Akasa Air,10037.0,10037.0,8928.0,11146.0,2,90.0,0.0
BOM-BLR,IndiGo,13482.615384615385,13116.0,12486.0,16686.0,13,115.38461538461539,0.0
BOM-BLR,Akasa Air,14160.42857142857,13078.0,12793.0,17262.0,7,119.28571428571429,0.0
BOM-BLR,Air India,14480.846153846154,12772.0,10477.0,34025.0,13,124.61538461538461,0.0
BOM-CCU,Akasa Air,18036.0,18036.0,16965.0,19107.0,2,172.5,0.0
BOM-CCU,IndiGo,18358.625,17930.5,17069.0,21831.0,8,208.125,0.25
BOM-CCU,Air India,18705.4,17415.0,17069.0,24559.0,5,177.0,0.0
BOM-COK,IndiGo,18810.4,18713.0,17226.0,21604.0,5,115.0,0.0
BOM-COK,Akasa Air,18975.0,18975.0,18975.0,18975.0,1,125.0,0.0
BOM-COK,Air India Express,19709.5,19381.5,18766.0,21309.0,4,120.0,0.0
BOM-COK,Air India,27719.666666666668,18746.0,18069.0,46344.0,3,390.0,0.3333333333333333
BOM-COK,"Air India, Air India Express",48303.5,48303.5,47396.0,49211.0,2,1112.5,1.0
BOM-DEL,Air India Express,13125.0,13125.0,13125.0,13125.0,2,137.5,0.0
BOM-DEL,Akasa Air,13335.4,13187.0,13187.0,13929.0,5,143.0,0.0
BOM-DEL,SpiceJet,15105.5,15105.5,13975.0,16236.0,2,152.5,0.0
BOM-DEL,Air India,16365.466666666667,12923.0,12655.0,23460.0,15,138.0,0.0
BOM-DEL,IndiGo,17214.81818181818,13389.0,12732.0,30768.0,11,190.45454545454547,0.36363636363636365
BOM-GOI,Air India Express,13189.5,13189.5,12403.0,13976.0,2,80.0,0.0
BOM-GOI,IndiGo,17656.833333333332,16433.0,13073.0,23701.0,6,75.83333333333333,0.0
BOM-GOI,Air India,21977.571428571428,19449.0,13107.0,36407.0,7,333.57142857142856,0.2857142857142857
BOM-GOI,"Air India, Air India Express",28953.0,28953.0,28953.0,28953.0,1,450.0,1.0
BOM-HYD,IndiGo,13173.0,12298.0,11983.0,16498.0,6,94.16666666666667,0.0
BOM-HYD,Air India,15739.42857142857,12339.0,11924.0,32489.0,7,155.0,0.14285714285714285
BOM-MAA,IndiGo,13981.0,13981.0,13981.0,13981.0,3,125.0,0.0
BOM-MAA,Akasa Air,14360.0,14360.0,14360.0,14360.0,1,125.0,0.0
BOM-MAA,Air India,14885.875,14393.0,13983.0,17447.0,8,130.625,0.0
BOM-MAA,"Air India, Air India Express",22599.0,22599.0,22360.0,22838.0,2,400.0,1.0
BOM-PNQ,Air India,24493.5,24453.0,24453.0,24615.0,4,326.25,1.0
BOM-PNQ,"Air India, Air India Express",24909.4,25188.0,23774.0,25590.0,5,409.0,1.0
