outbound_date,route,average_fare,base_fare,route_index,route_weight,weighted_contribution
2026-09-13,MAA-CCU,17482.0,30953.333333333332,56.478569890157225,0.0,0.0
2026-09-13,MAA-COK,43355.555555555555,13366.0,324.37195537599547,0.0,0.0
2026-09-13,MAA-DEL,22008.0,28743.6,76.56660961048722,0.0,0.0
2026-09-13,MAA-GOI,17964.2,22727.0,79.04342852114226,0.0,0.0
2026-09-13,MAA-HYD,12752.0,22389.8,56.95450606972818,0.0,0.0
2026-09-13,MAA-PNQ,11095.375,15734.0,70.51846320071184,0.0,0.0
2026-09-13,PNQ-AMD,8355.0,9881.0,84.55621900617346,0.0,0.0
2026-09-13,PNQ-BLR,9478.23076923077,13180.0,71.9137387650286,0.0,0.0
2026-09-13,PNQ-CCU,16600.4,14728.0,112.71319934818034,0.0,0.0
2026-09-13,PNQ-COK,16402.2,43695.0,37.537933401991076,0.0,0.0
2026-09-13,PNQ-DEL,14378.733333333334,23144.75,62.12524798640441,0.0,0.0
2026-09-13,PNQ-GOI,23154.875,44637.666666666664,51.872951095114,0.0,0.0
2026-09-13,PNQ-HYD,10013.833333333334,10355.5,96.70062607632016,0.0,0.0
2026-09-13,PNQ-MAA,11540.42857142857,12896.0,89.48843495214463,0.0,0.0
